id	canonical	display	target	status
HolyWrathField	Litany of Wrath	Litany of Wrath	愤怒连祷	covered
HydroVortex	Hydro Vortex	Hydro Vortex	水流漩涡	covered
Icebolt	Icebolt	Icebolt	冰箭	covered
IceRelease	Ice Release	Ice Release	冰遁	covered
IceShard	Ice Shard	Ice Shard	冰霜碎片	covered
Invoker	Invoker	Invoker	祈求者	covered
JudgementBlade	Judgement Blade	Judgement Blade	审判之刃	covered
JumpShot	Jump Shot	Jump Shot	跃射	covered
LifeBond	Life Bond	Life Bond	生命羁绊	covered
LifeDrain	Life Drain	Life Drain	生命汲取	covered
LifeDrainEnemy	Life Drain (Enemy)	Life Drain	生命汲取	covered
LifeDrainSummon	Life Drain (Summon)	Life Drain	生命汲取	covered
LightningCoat	Lightning Coat	Lightning Coat	雷霆附体	covered
LightningReflexes	Lightning Reflexes	Lightning Reflexes	闪电反射	covered
LightningRelease	Lightning Release	Lightning Release	雷遁	covered
LightningStrike	Flash Step	Flash Step	闪光步	covered
LimitBreak	Limit Break	Limit Break	突破极限	covered
Lockdown	Lockdown	Lockdown	火力封锁	covered
Marked	Mark Target	Mark Target	标记目标	covered
Meteor	Meteor	Meteor	陨星	covered
MeteorStorm	Meteor Storm	Meteor Storm	陨星风暴	covered
MimicSeal	Mimic Seal	Mimic Seal	拟态封印	covered
Mount	Mount	Mount	坐骑	covered
MountMastery	Gryphon Riding	Gryphon Riding	狮鹫骑术	covered
NPC_Berserk	Wild Rage	Berserk	狂暴	covered
NPC_BleedAttack	Bleed	Bleed Attack	流血	covered
NPC_Blind	Blind	Blind	致盲	covered
NPC_Burn	Burn	Burn	灼烧	covered
NPC_Enrage	Enrage	Enrage	激怒	covered
NPC_Enrage_2	Last Stand	Last Stand	背水一战	covered
NPC_Freeze	Freeze	Freeze	冰冻	covered
NPC_Knockback	Knockback	Stun	眩晕	covered
NPC_LightningReflexes	Empower Reflexes	Lightning Reflexes	闪电反射	covered
NPC_ManaLeech	Mana Drain	Mana Drain	法力汲取	covered
NPC_Poison	Gunk Shot	Gunk Shot	污泥射击	covered
NPC_Pull	Pull	Pull	牵引	covered
NPC_ShadowStep	Dark Step	Shadow Step	暗影步	covered
NPC_Sharpen	Critical Strikes	Sharpen	暴击强化	covered
NPC_Silence	Silence	Silence	沉默	covered
NPC_SpellGuard	Reflect Magic	Spell Shield	反射魔法	covered
NPC_SpikedShell	Reflect Physical	Thorns	反射物理	covered
NPC_SteelGuard	Reinforce	Reinforce	加固	covered
NPC_Stun	Stun	Stun Attack	眩晕	covered
NPC_Venom	Venom	Venom	毒液	covered
NPC_WideBleed	Wide Bleed	Wide Bleed	群体流血	covered
NPC_WideBlind	Wide Blind	Wide Blind	群体致盲	covered
NPC_WideCurse	Wide Curse	Wide Curse	群体诅咒	covered
NPC_WideFreeze	Wide Freeze	Wide Freeze	群体冰冻	covered
NPC_WidePoison	Wide Poison	Wide Poison	群体中毒	covered
NPC_WideSilence	Wide Silence	Wide Silence	群体沉默	covered
NPC_WideStun	Wide Stun	Wide Stun	群体眩晕	covered
PanicBurst	Panic Burst	Panic Burst	恐慌爆发	covered
PiercingShot	Piercing Shot	Piercing Shot	穿刺射击	covered
PointBlankShot	Point Blank	Point Blank	近距射击	covered
PoisonField	Poison Ground	Poison Ground	剧毒领域	covered
PoisonGrenade	Poison Grenade	Poison Grenade	剧毒榴弹	covered
Reanimation	Reanimation	Reanimation	亡者奴役	covered
Reap	Reap	Reap	收割	covered
ReapSummon	Reap (Summon)	Reap	收割	covered
Revive	Resurrection	Resurrection	复活术	covered
ReviveAll	Salvation	Salvation	救赎	covered
Sacrament	Sacrament	Sacrament	圣礼	covered
SacredBlast	Sacred Blast	Sacred Blast	圣光震荡	covered
SacredGround	Sacred Ground	Sacred Ground	神圣领域	covered
Sacrifice	Sacrifice	Sacrifice	牺牲	covered
Sanctuary	Sanctuary	Sanctuary	圣域	covered
SanctuaryField	Litany of Sanctuary	Litany of Sanctuary	庇护连祷	covered
ShadowFeint	Elusive Feint	Elusive Feint	幻影佯攻	covered
ShadowRelease	Black Blade	Black Blade	黯影之刃	covered
ShadowSeal	Shadow Seal	Shadow Seal	暗影封印	covered
ShadowStep	Shadow Step	Shadow Step	暗影步	covered
ShadowStrike	Shadow Strike	Shadow Strike	暗影打击	covered
ShadowTrail	Shadow Trail	Shadow Trail	暗影轨迹	covered
ShieldBash	Shield Bash	Shield Bash	盾击	covered
ShieldThrow	Shield Throw	Shield Throw	飞盾	covered
ShockAbsorber	Shock Absorber	Shock Absorber	冲击吸收	covered
ShoutBlood	Blood Howl	Blood Howl	血嚎	covered
ShoutFury	Furious Shout	Furious Shout	狂怒战吼	covered
ShoutMight	Mighty Roar	Mighty Roar	威猛咆哮	covered
ShoutMightLong	War Cry	War Cry	战吼	covered
ShoutStun	Fearsome Cry	Fearsome Cry	威慑战吼	covered
ShrapnelShot	Shrapnel	Shrapnel	弹片	covered
ShurikenFan	Shuriken Fan	Shuriken Fan	手里剑散射	covered
SilentEdge	Silent Edge	Silent Edge	无声锋刃	covered
SlowTrap	Slow Trap	Slow Trap	慢速陷阱	covered
Smite	Smite	Smite	惩击	covered
SmokeScreen	Smoke Screen	Smoke Screen	烟幕	covered
SmokeScreenAlly	Smoke Screen (Ally)	Smoke Screen	烟幕	covered
SniperNest	Sniper's Nest	Sniper's Nest	狙击阵地	covered
SniperShot	Sniper Shot	Sniper Shot	狙击射击	covered
SoulDrain	Soul Drain	Soul Drain	灵魂汲取	covered
SoulDrainEnemy	Soul Drain (Enemy)	Soul Drain Enemy	灵魂汲取（敌方）	covered
SoulStrike	Soul Strike	Soul Strike	灵魂打击	covered
SpearQuicken	Precision Focus	Spear Quicken	精准专注	covered
SpearSlice	Air Cutter	Air Cutter	裂空斩	covered
SpearStab	Impale	Impale	刺穿	covered
SpearThrust	Piercing Flurry	Piercing Flurry	穿刺连击	covered
SpellShield	Arcanum Ward	Arcanum Ward	秘法结界	covered
StatusRecovery	Status Recovery	Status Recovery	状态恢复	covered
Stomp	Stomp	Stomp	践踏	covered
StrafingVolley	Strafing Volley	Strafing Volley	扫射齐射	covered
SummonAbomination	Summon Blightbeast	Summon Abomination	召唤疫病兽	covered
SummonAngel	Summon Angel	Summon Angel	召唤天使	covered
SummonAttack	Summon Command	Summon Command	召唤命令	covered
SummonCactus	Summon Cactus	Summon Cactus	召唤仙人掌	covered
SummonCat	Summon Cat	Summon Cat	召唤猫	covered
SummonDeathMage	Summon Death	Summon Death Mage	召唤死灵法师	covered
SummonMount	Summon Mount	Summon Mount	召唤坐骑	covered
SummonReanimation	Summon Reanimation	Summon Reanimation	召唤亡者英魂	covered
SummonRecall	Summon Recall	Summon Recall	召回召唤物	covered
SummonSkeleton	Summon Bonekin	Summon Skeleton	召唤骸骨战士	covered
SummonSkeletonMage	Summon Bonecaster	Summon Skeleton Mage	召唤骸骨法师	covered
SummonSwap	Summon Swap	Summon Swap	切换召唤物	covered
SummonWolf	Summon Wolf	Summon Wolf	召唤狼	covered
SummonWraith	Summon Reaper	Summon Wraith	召唤收割者	covered
SuppressiveShot	Suppressive Shot	Suppressive Shot	压制射击	covered
Taunt	Taunt	Taunt	嘲讽	covered
Tempest	Tempest	Tempest	风暴	covered
TetraVortex	Elemental Overload	Elemental Overload	元素过载	covered
TetraVortexEarth	Overload Earth	Overload Earth	大地过载	covered
TetraVortexFire	Overload Fire	Overload Fire	火焰过载	covered
TetraVortexWater	Overload Ice	Overload Ice	冰霜过载	covered
TetraVortexWind	Overload Wind	Overload Wind	疾风过载	covered
Thunderbolt	Thunderbolt	Thunderbolt	霹雳	covered
ThunderField	Static Field	Static Field	静电场	covered
ThunderStorm	Thunder Storm	Thunder Storm	雷暴	covered
TriggerHappy	Trigger Happy	Trigger Happy	火力全开	covered
TrueSight	True Sight	True Sight	真实视野	covered
TurnUndead	Turn Undead	Turn Undead	超度亡灵	covered
TwistOfFate	Twist Of Fate	Twist Of Fate	命运扭转	covered
TwohandQuicken	Critical Focus	Axe Quicken	暴击专注	covered
UmbralExplosion	Umbral Rupture	Umbral Rupture	幽影裂隙	covered
UmbralField	Umbral Decay	Umbral Decay	幽影腐化	covered
UmbralWide	Umbral Collapse	Umbral Collapse	幽影崩塌	covered
UnholyAura	Unholy Aura	Unholy Aura	邪恶光环	covered
Unyielding	Unyielding	Unyielding	不屈	covered
VenomBloom	Venom Bloom	Venom Bloom	毒液绽放	covered
VenomCoating	Venom Coating	Venom Coating	毒液涂层	covered
VenomStrike	Venom Strike	Venom Strike	毒液打击	covered
Vitality	Vitality Aura	Vitality Aura	活力光环	covered
VolatileBolt	Volatile Bolt	Volatile Bolt	爆裂雷击	covered
VolatileExplosion	Volatile Explosion	Volatile Explosion	爆裂	covered
WaterBarrier	Avatar of Frost	Avatar of Frost	冰霜化身	covered
WeaponSwap	Dual Loadout	Dual Loadout	双套配装	covered
WeaponThrow	Weapon Throw	Weapon Throw	武器投掷	covered
Whirlwind	Whirlwind	Whirlwind	剑刃风暴	covered
WildCharge	Wild Charge	Wild Charge	狂野冲锋	covered
WindBarrier	Avatar of Storm	Avatar of Storm	风暴化身	covered
Zeal	Zeal	Zeal	热忱	covered
