status	key	category	source	traditional
covered	card.Bumble.affix	Cards	Energy	
covered	card.Bunny.affix	Cards	Rapid	
covered	card.Burrow.affix	Cards	Stomping	
covered	card.Butterfly Fairy.affix	Cards	Sanctified	
covered	card.Butterfly Hue.affix	Cards	Blessed	
covered	card.Butterfly Pixie.affix	Cards	Lightproof	
covered	card.Cacti.affix	Cards	Spiked	
covered	card.Cactus Boss.affix	Cards	Enduring	
covered	card.Cactus.affix	Cards	Spiked	
covered	card.Cat Bolt.affix	Cards	Gale	
covered	card.Cat Lightning.affix	Cards	Windproof	
covered	card.Cat Meow.affix	Cards	Shocking	
covered	card.Chick.affix	Cards	Sharp	
covered	card.Creeper.affix	Cards	Savage	
covered	card.Cyclops Bat Mage.affix	Cards	Magic	
covered	card.Cyclops Bat Wizard.affix	Cards	Mind	
covered	card.Cyclops Bat.affix	Cards	Grave	
covered	card.Cyclops Giant.affix	Cards	Warding	
covered	card.Cyclops Minion.affix	Cards	Warding	
covered	card.Cyclops.affix	Cards	Warding	
covered	card.Death Mage.affix	Cards	Cloaking	
covered	card.Death.affix	Cards	Ethereal	
covered	card.Delivery Robot.affix	Cards	Carrier	
covered	card.Direwolf.affix	Cards	Melee	
covered	card.Dog Bark.affix	Cards	Flaming	
covered	card.Dog Bowwow.affix	Cards	Flaming	
covered	card.Dog Pup.affix	Cards	Flaming	
covered	card.Dragon Blizzard.affix	Cards	Diamond	
covered	card.Dragon Darkness.affix	Cards	Violent	
covered	card.Dragon Dusk.affix	Cards	Exorcist's	
covered	card.Dragon Fire.affix	Cards	Fireproof	
covered	card.Dragon Ice.affix	Cards	Freezing	
covered	card.Dragon Inferno.affix	Cards	Power	
covered	card.Dragon Nightfall.affix	Cards	Purifying	
covered	card.Dragon Spark.affix	Cards	Power	
covered	card.Dragon Water.affix	Cards	Waterproof	
covered	card.Dragonfly Arrow.affix	Cards	Elusive	
covered	card.Dragonfly Darner.affix	Cards	Elusive	
covered	card.Dragonfly Swift.affix	Cards	Elusive	
covered	card.Egg.affix	Cards	Vital	
covered	card.Egglet.affix	Cards	Rapid	
covered	card.Elder Wisp Blue.affix	Cards	Glacial	
covered	card.Elder Wisp Purple.affix	Cards	Spark	
covered	card.Elder Wisp Yellow.affix	Cards	Pyre	
covered	card.Eyeball Bat Blue.affix	Cards	Radiant	
covered	card.Eyeball Bat Green.affix	Cards	Purity	
covered	card.Eyeball Bat Red.affix	Cards	Vampiric	
covered	card.Eyeball Creep Blue.affix	Cards	Focus	
covered	card.Eyeball Creep Green.affix	Cards	Focus	
covered	card.Eyeball Creep Red.affix	Cards	Focus	
covered	card.Eyeball Mage Blue.affix	Cards	Mind	
covered	card.Eyeball Mage Green.affix	Cards	Exorcist	
covered	card.Eyeball Mage Red.affix	Cards	Vampiric	
covered	card.Eyeball Monster.affix	Cards	Abyss	
covered	card.Fire Mage.affix	Cards	Mind	
covered	card.Fire.affix	Cards	Unbreaking	
covered	card.FIsh Blue.affix	Cards	Fading	
covered	card.Fish Man Blue.affix	Cards	Mind	
covered	card.Fish Man Pink.affix	Cards	Power	
covered	card.Fish Man Yellow.affix	Cards	Precision	
covered	card.Fish Merman Pink.affix	Cards	Savage	
covered	card.Fish Merman Yellow.affix	Cards	Lightning	
covered	card.Fish Pink.affix	Cards	Violent	
covered	card.Fish Yellow.affix	Cards	Perfect	
covered	card.Flame.affix	Cards	Burning	
covered	card.Fledgling.affix	Cards	Accurate	
covered	card.Flora.affix	Cards	Frosty	
covered	card.Flower Pot Monster.affix	Cards	Quagmire	
covered	card.Fungi.affix	Cards	Heal	
covered	card.Ghost.affix	Cards	Cloaking	
covered	card.Gloom.affix	Cards	Mystery	
covered	card.Glow Wisp Blue.affix	Cards	Glacial	
covered	card.Glow Wisp Purple.affix	Cards	Spark	
covered	card.Glow Wisp Yellow.affix	Cards	Pyre	
covered	card.Goblin Giant Devil.affix	Cards	Quaking	
covered	card.Goblin Giant Gold.affix	Cards	Earthen	
covered	card.Goblin Giant Mage.affix	Cards	Seismic	
covered	card.Goblin Giant.affix	Cards	Healthy	
covered	card.Goblin Minion.affix	Cards	Bashing	
covered	card.Goblin Trooper Assassin.affix	Cards	Mobile	
covered	card.Goblin Trooper Mage.affix	Cards	Free	
covered	card.Goblin Trooper Soldier.affix	Cards	Healthy	
covered	card.Goblin Trooper.affix	Cards	Mudproof	
covered	card.Goblin Warblade.affix	Cards	Spiked	
covered	card.Goblin Warchief.affix	Cards	Elemental	
covered	card.Goblin Warcrusher.affix	Cards	Seismic	
covered	card.Goblin Warlock.affix	Cards	Mind	
covered	card.Golem Earth.affix	Cards	Stone	
covered	card.Golem Fire.affix	Cards	Stone	
covered	card.Golem Ice.affix	Cards	Stone	
covered	card.Grim Reaper.affix	Cards	Undead	
covered	card.Gripper Robot.affix	Cards	Immune	
covered	card.Hare.affix	Cards	Fleet	
covered	card.Haunt.affix	Cards	Wizardry	
covered	card.Hermit King.affix	Cards	Hydro	
covered	card.Horror.affix	Cards	Savage	
covered	card.Housefly Icky.affix	Cards	Assassin's	
covered	card.Housefly Junk.affix	Cards	Assassin's	
covered	card.Housefly Nom.affix	Cards	Assassin's	
covered	card.Ice Bear A.affix	Cards	Healthy	
covered	card.Ice Bear B.affix	Cards	Arcanum	
covered	card.Ice Mage.affix	Cards	Thawing	
covered	card.Ice Starflake A.affix	Cards	Stone	
covered	card.Ice Starflake B.affix	Cards	Energy	
covered	card.Ice Starflake C.affix	Cards	Umbral	
covered	card.Ice.affix	Cards	Icepick	
covered	card.Icicle.affix	Cards	Thawing	
covered	card.Imp Demon.affix	Cards	Swift	
covered	card.Imp Devil.affix	Cards	Meteoric	
covered	card.Imp Mischief.affix	Cards	Mischief	
covered	card.Jellyfish Robot.affix	Cards	Energy	
covered	card.Lurker.affix	Cards	Savage	
covered	card.Mega Ice Golem.affix	Cards	Permafrost	
covered	card.Mimic Barrel.affix	Cards	Vit	
covered	card.Mimic Book.affix	Cards	Int	
covered	card.Mimic Candle.affix	Cards	Dex	
covered	card.Mimic Living Trap.affix	Cards	Agi	
covered	card.Mimic Sword.affix	Cards	Str	
covered	card.Mimic Treasure Chest.affix	Cards	Luk	
covered	card.Mini Ice Bear A.affix	Cards	Thawing	
covered	card.Mole Rat King.affix	Cards	Mudproof	
covered	card.Mole Rat.affix	Cards	Healthy	
covered	card.Monster Bat King.affix	Cards	Mana Burn	
covered	card.Monster Bat.affix	Cards	Focus	
covered	card.Mosquito Bug.affix	Cards	Vampiric	
covered	card.Mosquito Pester.affix	Cards	Windproof	
covered	card.Mosquito Stinger.affix	Cards	Haste	
covered	card.Moth Celestial.affix	Cards	Cloaking	
covered	card.Moth Luna.affix	Cards	Wizardry	
covered	card.Moth Moon.affix	Cards	Wizardry	
covered	card.Mushroom.affix	Cards	Occult	
covered	card.Nightmare.affix	Cards	Cloaking	
covered	card.NightmareAcolyte.affix	Cards	Acolyte	
covered	card.NightmareBerserker.affix	Cards	Berserker	
covered	card.NightmareGunslinger.affix	Cards	Gunslinger	
covered	card.NightmareKnight.affix	Cards	Knight	
covered	card.NightmareMage.affix	Cards	Mage	
covered	card.NightmareNecromancer.affix	Cards	Necromancer	
covered	card.NightmarePaladin.affix	Cards	Paladin	
covered	card.NightmarePriest.affix	Cards	Priest	
covered	card.NightmareRogue.affix	Cards	Rogue	
covered	card.NightmareScout.affix	Cards	Scout	
covered	card.NightmareShinobi.affix	Cards	Shinobi	
covered	card.NightmareSummoner.affix	Cards	Summoner	
covered	card.NightmareWarrior.affix	Cards	Warrior	
covered	card.NightmareWizard.affix	Cards	Wizard	
covered	card.Nose Robot.affix	Cards	Overheat	
covered	card.Octopus Baby Blue.affix	Cards	Elusive	
covered	card.Octopus Baby Orange.affix	Cards	Elusive	
covered	card.Octopus Baby Purple.affix	Cards	Elusive	
covered	card.Octopus King Blue.affix	Cards	Ranged	
covered	card.Octopus King Orange.affix	Cards	Long-Range	
covered	card.Octopus King Purple.affix	Cards	Ranged	
covered	card.Petal.affix	Cards	Hoarfrost	
covered	card.Phantom.affix	Cards	Ethereal	
covered	card.Plant Chewer.affix	Cards	Immune	
covered	card.Plant Monster.affix	Cards	Status	
covered	card.Plant Shooter.affix	Cards	Poisonous	
covered	card.Plant Worm.affix	Cards	Status	
covered	card.Poison Bomb.affix	Cards	Toxic	
covered	card.Pollen.affix	Cards	Elusive	
covered	card.Posy.affix	Cards	Icy	
covered	card.Queen Worm.affix	Cards	Toxic	
covered	card.Rabbit.affix	Cards	Swift	
covered	card.Rat Dark.affix	Cards	Elusive	
covered	card.Rat Grey.affix	Cards	Anti-Venom	
covered	card.Rat White.affix	Cards	Accurate	
covered	card.Razor Robot.affix	Cards	Rapid	
covered	card.Scorpion King.affix	Cards	Blazing	
covered	card.Scorpion.affix	Cards	Fireproof	
covered	card.Scorpling.affix	Cards	Ashen	
covered	card.Seed.affix	Cards	Vital	
covered	card.Shade.affix	Cards	Mystery	
covered	card.Shadow.affix	Cards	Mystery	
covered	card.Shark Baby.affix	Cards	Taunting	
covered	card.Shark Humanoid.affix	Cards	Taunting	
covered	card.Shark.affix	Cards	Taunting	
covered	card.Shell Robot.affix	Cards	Rapid	
covered	card.Shell.affix	Cards	Immune	
covered	card.Skeleton Giant.affix	Cards	Melee	
covered	card.Skeleton Mage.affix	Cards	Mind	
covered	card.Skeleton.affix	Cards	Undead	
covered	card.Slime Jelly.affix	Cards	Poisonous	
covered	card.Slime Monster.affix	Cards	Anti-Venom	
covered	card.Slime.affix	Cards	Toxinproof	
covered	card.Snake Naga.affix	Cards	Twinfang	
covered	card.Snake.affix	Cards	Venomous	
covered	card.Snakelet.affix	Cards	Combo	
covered	card.Snout Robot.affix	Cards	Pillar	
covered	card.Snow Bomb.affix	Cards	Freezing	
covered	card.Soul Mage.affix	Cards	Wizardry	
covered	card.Soul.affix	Cards	Unbreaking	
covered	card.Spider King.affix	Cards	Sharp	
covered	card.Spider Queen Robot.affix	Cards	Unnatural	
covered	card.Spider.affix	Cards	Shadow	
covered	card.Spiderling Robot.affix	Cards	Darkproof	
covered	card.Spike Robot.affix	Cards	Rapid	
covered	card.Spike.affix	Cards	Focus	
covered	card.Spook.affix	Cards	Unbreaking	
covered	card.Spore.affix	Cards	Healthy	
covered	card.Sprout.affix	Cards	Splintering	
covered	card.Sting.affix	Cards	Frenzy	
covered	card.Stinger Robot.affix	Cards	Energy	
covered	card.Sun Blossom.affix	Cards	Blessed	
covered	card.Sunflora Pixie.affix	Cards	Vocal	
covered	card.Sunflower Fairy.affix	Cards	Blessed	
covered	card.Tentacles Robot.affix	Cards	Swift	
covered	card.Titan Turtle Sci Blue.affix	Cards	Freezing	
covered	card.Titan Turtle Sci Green.affix	Cards	Power	
covered	card.Titan Turtle Sci Pink.affix	Cards	Tempest	
covered	card.Toadstool.affix	Cards	Waterproof	
covered	card.Treant Forest Autumn.affix	Cards	Autumn	
covered	card.Treant Forest Evergreen.affix	Cards	Evergreen	
covered	card.Treant Minion Autumn.affix	Cards	Autumn	
covered	card.Treant Minion Evergreen.affix	Cards	Evergreen	
covered	card.Treant Tree Autumn.affix	Cards	Autumn	
covered	card.Treant Tree Evergreen.affix	Cards	Evergreen	
covered	card.Turtle King.affix	Cards	Overload	
covered	card.Turtle Monster Blue.affix	Cards	Watchful	
covered	card.Turtle Monster Green.affix	Cards	Purifying	
covered	card.Turtle Monster Red.affix	Cards	Flameguard	
covered	card.Turtle.affix	Cards	Steadfast	
covered	card.Vampire Bat.affix	Cards	Leeching	
covered	card.Werewolf.affix	Cards	Tainted	
covered	card.Whirlwind.affix	Cards	Grounding	
covered	card.Wind Mage.affix	Cards	Storm	
covered	card.Wind.affix	Cards	Focus	
covered	card.Wisp Blue.affix	Cards	Glacial	
covered	card.Wisp Purple.affix	Cards	Spark	
covered	card.Wisp Red.affix	Cards	Pyre	
covered	card.Wisp Yellow.affix	Cards	Seismic	
covered	card.Wolf Pup.affix	Cards	Umbral	
covered	card.Wolf.affix	Cards	Darkproof	
covered	card.Worm Creep.affix	Cards	Poisonous	
covered	card.Worm Rot.affix	Cards	Toxinproof	
covered	card.Worm Stink.affix	Cards	Purging	
covered	card.Wraith.affix	Cards	Frenzied	
covered	card.Zombie Goblin Giant.affix	Cards	Occult	
covered	card.Zombie Goblin King.affix	Cards	Undead	
covered	card.Zombie Goblin Minion.affix	Cards	Purity	
covered	card.Zombie Goblin Soldier.affix	Cards	Undying	
covered	consumable.Artifact Box Advanced.name	Consumables	Box of Mastery	
covered	consumable.Artifact Box Base.name	Consumables	Box of Origins	
covered	consumable.Lure Alien Big Blink.name	Consumables	Time Device	
covered	consumable.Lure Angel Mage.name	Consumables	Heaven's Tear Earring	
covered	consumable.Lure Bat Lord.name	Consumables	Overripe Grape Cluster	
covered	consumable.Lure Cactus Boss.name	Consumables	Oozing Pulp Chunk	
covered	consumable.Lure Cat Bolt.name	Consumables	Curved Fishbone	
covered	consumable.Lure Death Mage.name	Consumables	Black Mirror Shard	
covered	consumable.Lure Eyeball Monster.name	Consumables	Abyssal Idol	
covered	consumable.Lure Goblin Giant Gold.name	Consumables	Glinting Goblin Fang	
covered	consumable.Lure Goblin Warchief.name	Consumables	Tribal Heirloom	
covered	consumable.Lure Hare.name	Consumables	Gnawed Acorn	
covered	consumable.Lure Hermit King.name	Consumables	Calcified Shell Core	
covered	consumable.Lure Ice Mage.name	Consumables	Frozen Heart Crystal	
covered	consumable.Lure Imp Devil.name	Consumables	Blank Pact Scroll	
covered	consumable.Lure Mega Ice Golem.name	Consumables	Frozen Core Shard	
covered	consumable.Lure Queen Worm.name	Consumables	Royal Jelly Clot	
covered	consumable.Lure Scorpion King.name	Consumables	Soldier Termite	
covered	consumable.Lure Snake Naga.name	Consumables	Fresh Meat	
covered	consumable.Lure Spider Queen Robot.name	Consumables	Spider Web Coil	
covered	consumable.Lure Sting.name	Consumables	Buzzing Hive Fragment	
covered	consumable.Lure Sunflora Pixie.name	Consumables	Sunborn Petal Tuft	
covered	consumable.Lure Turtle King.name	Consumables	Tactical Power Node	
covered	consumable.Lure Werewolf.name	Consumables	Fragment of the Pale Moon	
covered	consumable.Lure Worm Creep.name	Consumables	Worm-Eaten Sediment	
covered	consumable.Lure Zombie Goblin King.name	Consumables	Lost Shoe	
covered	consumable.Material Box.name	Consumables	Material Box	
covered	consumable.Mystery Mount Box.name	Consumables	Mystery Mount Egg	
covered	consumable.Mystery Pet Box.name	Consumables	Mystery Pet Egg	
covered	consumable.Refine Box.name	Consumables	Refine Box	
covered	consumable.Waystone.name	Consumables	Waystone	
covered	cosmetic.3D Glasses.name	Cosmetics	3D Glasses	
covered	cosmetic.Abyss Shard.name	Cosmetics	Abyss Shard	
covered	cosmetic.Acolyte_1.name	Cosmetics	Scripture of Mercy	
covered	cosmetic.Acolyte_2.name	Cosmetics	Radiant Strikes	
covered	cosmetic.Acolyte_3.name	Cosmetics	Radiant Judgment	
covered	cosmetic.Acolyte_4.name	Cosmetics	Gospel of Grace	
covered	cosmetic.Acolyte_5.name	Cosmetics	Lightweaver	
covered	cosmetic.Acolyte_6.name	Cosmetics	Sacred Rhythm	
covered	cosmetic.Alien Cyclops.name	Cosmetics	Moonspawn Pet	
covered	cosmetic.Alien Sporella.name	Cosmetics	Sporeling Pet	
covered	cosmetic.Alien Star.name	Cosmetics	Starlet Pet	
covered	cosmetic.Alien Wheel.name	Cosmetics	Blazewheel Pet	
covered	cosmetic.Amber Bow.name	Cosmetics	Amber Bow	
covered	cosmetic.Amber Loop.name	Cosmetics	Amber Loop	
covered	cosmetic.Arcane Sigil.name	Cosmetics	Arcane Sigil	
covered	cosmetic.ArcaneChest.name	Cosmetics	Arcane Chest	
covered	cosmetic.ArcaneFeet.name	Cosmetics	Arcane Boots	
covered	cosmetic.ArcaneGloves.name	Cosmetics	Arcane Gloves	
covered	cosmetic.ArcaneLegs.name	Cosmetics	Arcane Legs	
covered	cosmetic.Archangel.name	Cosmetics	Sangeal Pet	
covered	cosmetic.Armor_Agi.name	Cosmetics	Speed Plate	
covered	cosmetic.Armor_Dex.name	Cosmetics	Precision Plate	
covered	cosmetic.Armor_Int.name	Cosmetics	Mind Plate	
covered	cosmetic.Armor_Luk.name	Cosmetics	Fate Plate	
covered	cosmetic.Armor_Str.name	Cosmetics	Power Plate	
covered	cosmetic.Armor_Vit.name	Cosmetics	Endurance Plate	
covered	cosmetic.Arrow Quiver.name	Cosmetics	Arrow Quiver	
covered	cosmetic.Arrowcatch Wall.name	Cosmetics	Arrowcatch Wall	
covered	cosmetic.Arrowpierced Shield.name	Cosmetics	Arrowpierced Shield	
covered	cosmetic.Artemis.name	Cosmetics	Artemis	
covered	cosmetic.Aura_Angel.name	Cosmetics	Angelic Aura	
covered	cosmetic.Aura_Demon.name	Cosmetics	Demonic Aura	
covered	cosmetic.Axe of Oblivion.name	Cosmetics	Axe of Oblivion	
covered	cosmetic.Axe.name	Cosmetics	Axe	
covered	cosmetic.Azure Antlers.name	Cosmetics	Azure Antlers	
covered	cosmetic.Azure Crown.name	Cosmetics	Azure Crown	
covered	cosmetic.Azure Cutlass.name	Cosmetics	Azure Cutlass	
covered	cosmetic.Azure Prism.name	Cosmetics	Azure Prism	
covered	cosmetic.Azure Tag.name	Cosmetics	Azure Tag	
covered	cosmetic.Back_Academy.name	Cosmetics	Academy Satchel	
covered	cosmetic.Back_Angel.name	Cosmetics	Angel Back	
covered	cosmetic.Back_BabyChicken.name	Cosmetics	Baby Chick Backpack	
covered	cosmetic.Back_Balloon.name	Cosmetics	Red Balloon	
covered	cosmetic.Back_BucketofShrooms.name	Cosmetics	Bucket of Shrooms	
covered	cosmetic.Back_CatBoltTail.name	Cosmetics	Regent's Sparktail	
covered	cosmetic.Back_CrystalWings.name	Cosmetics	Frost Crystal Wings	
covered	cosmetic.Back_Cuervo.name	Cosmetics	Cuervo Back	
covered	cosmetic.Back_CyberRogue.name	Cosmetics	Cyber Rogue Back	
covered	cosmetic.Back_Demonic.name	Cosmetics	Demonic Back	
covered	cosmetic.Back_DragonWings.name	Cosmetics	Dragon Wings	
covered	cosmetic.Back_DualAxes.name	Cosmetics	Crossed Axes	
covered	cosmetic.Back_FairyWings.name	Cosmetics	Fairy Wings	
covered	cosmetic.Back_FlowerPot.name	Cosmetics	Potted Blooms	
covered	cosmetic.Back_ForgeWings.name	Cosmetics	Forge Wings	
covered	cosmetic.Back_HolyCape.name	Cosmetics	Holy Cape	
covered	cosmetic.Back_HourGlass.name	Cosmetics	Hourglass	
covered	cosmetic.Back_MinersPouch.name	Cosmetics	Miner's Pouch	
covered	cosmetic.Back_RaggedCape.name	Cosmetics	Ragged Cape	
covered	cosmetic.Back_TeddyBear.name	Cosmetics	Teddy Bear Backpack	
covered	cosmetic.Back_UmbrasGrace.name	Cosmetics	Umbra's Grace	
covered	cosmetic.Back_VitaeGift.name	Cosmetics	Vitae's Gift	
covered	cosmetic.Back_WolfPack.name	Cosmetics	Wolf Backpack	
covered	cosmetic.Backpack.name	Cosmetics	Backpack	
covered	cosmetic.Badge_Demonic.name	Cosmetics	Demonic	
covered	cosmetic.Badge_Designer.name	Cosmetics	Designer	
covered	cosmetic.Bandit Wrap.name	Cosmetics	Bandit Wrap	
covered	cosmetic.Banner Helm.name	Cosmetics	Banner Helm	
covered	cosmetic.Bat.name	Cosmetics	Flitterbat Pet	
covered	cosmetic.Batling Familiar.name	Cosmetics	Batling Familiar	
covered	cosmetic.Battle Bonnet.name	Cosmetics	Battle Bonnet	
covered	cosmetic.Bear Backpack.name	Cosmetics	Bear Backpack	
covered	cosmetic.Bear Hug Hood.name	Cosmetics	Bear Hood	
covered	cosmetic.Beast Helm.name	Cosmetics	Beast Helm	
covered	cosmetic.Beast Hood.name	Cosmetics	Beast Hood	
covered	cosmetic.Beast Pelt Hood.name	Cosmetics	Bandana	
covered	cosmetic.Bee.name	Cosmetics	Honeybum Pet	
covered	cosmetic.BerserkChest.name	Cosmetics	Duskhunter Chest	
covered	cosmetic.Berserker_1.name	Cosmetics	War Cry	
covered	cosmetic.Berserker_2.name	Cosmetics	Crimson Frenzy	
covered	cosmetic.Berserker_3.name	Cosmetics	Slaughter Instinct	
covered	cosmetic.Berserker_4.name	Cosmetics	Executioner	
covered	cosmetic.BerserkFeet.name	Cosmetics	Duskhunter Shoes	
covered	cosmetic.BerserkLegs.name	Cosmetics	Duskhunter Legs	
covered	cosmetic.Binding Spirits Staff.name	Cosmetics	Binding Spirits Staff	
covered	cosmetic.Blacksteel Blade.name	Cosmetics	Blacksteel Blade	
covered	cosmetic.Blade of Eclipse.name	Cosmetics	Blade of Eclipse	
covered	cosmetic.Blade Standard.name	Cosmetics	Blade Standard	
covered	cosmetic.Blindfold.name	Cosmetics	Blindfold	
covered	cosmetic.Blood Clip.name	Cosmetics	Blood Clip	
covered	cosmetic.Blood Pendant.name	Cosmetics	Blood Pendant	
covered	cosmetic.Bloodbound.name	Cosmetics	Bloodbound	
covered	cosmetic.Bloom of Midnight.name	Cosmetics	Bloom of Midnight	
covered	cosmetic.Bloom Pendant.name	Cosmetics	Bloom Pendant	
covered	cosmetic.Bloom Ring.name	Cosmetics	Bloom Ring	
covered	cosmetic.Blue Shell.name	Cosmetics	Blue Shell	
covered	cosmetic.Blunderbuss.name	Cosmetics	Blunderbuss	
covered	cosmetic.Bomb Bud.name	Cosmetics	Bomb Bud	
covered	cosmetic.Bomb.name	Cosmetics	Bombkin Pet	
covered	cosmetic.Bone Channeler.name	Cosmetics	Bone Channeler	
covered	cosmetic.Bone Helm.name	Cosmetics	Bone Helm	
covered	cosmetic.Bone Pick.name	Cosmetics	Bone Pick	
covered	cosmetic.Bonefang.name	Cosmetics	Bonefang	
covered	cosmetic.Boxy Robot.name	Cosmetics	S.U. B0X Pet	
covered	cosmetic.BreezeguardChest.name	Cosmetics	Breezeguard Chest	
covered	cosmetic.BreezeguardFeet.name	Cosmetics	Breezeguard Shoes	
covered	cosmetic.BreezeguardLegs.name	Cosmetics	Breezeguard Legs	
covered	cosmetic.Brimblade.name	Cosmetics	Brimblade	
covered	cosmetic.Broad Sword.name	Cosmetics	Broad Sword	
covered	cosmetic.Bronze Crescent.name	Cosmetics	Bronze Crescent	
covered	cosmetic.Bronze Plugs.name	Cosmetics	Bronze Plugs	
covered	cosmetic.Bronze Visage.name	Cosmetics	Bronze Visage	
covered	cosmetic.Bubblebeast Hood.name	Cosmetics	Bubblebeast Hood	
covered	cosmetic.Buckler.name	Cosmetics	Buckler	
